Player,Opp,GP,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Andre Caldwell WR - DEN,BAL,11,-,-,-,-,-,85,-,-,-,-,8.5
Neal Sterling WR - JAC,CAR,7,-,-,-,-,-,84,-,-,-,-,8.4
Ryan Broyles WR - DET,@SD,5,-,-,-,-,-,79,-,-,-,-,7.9
Geremy Davis WR - NYG,@DAL,7,-,-,-,-,-,78,-,-,-,-,7.8
Kaelin Clay WR - TB,TEN,4,-,-,-,-,-,69,-,-,-,-,6.9
Tre McBride WR - TEN,@TB,4,-,-,-,-,-,67,-,-,-,-,6.7
Andre Debose WR - OAK IR,CIN,5,-,-,-,-,-,62,-,-,-,-,6.2
Jared Abbrederis WR - GB,@CHI,-,-,-,-,-,-,-,-,-,-,-,0
Kamar Aiken WR - BAL,@DEN,-,-,-,-,-,-,-,-,-,-,-,0
Seyi Ajirotutu WR - PHI,@ATL,-,-,-,-,-,-,-,-,-,-,-,0
Donnie Avery WR,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Jon Baldwin WR,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Kelvin Benjamin WR - CAR View Videos,@JAC,-,-,-,-,-,-,-,-,-,-,-,0
Earl Bennett WR,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Davone Bess WR,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Justin Blackmon WR - JAC SUS,CAR,-,-,-,-,-,-,-,-,-,-,-,0
Josh Boyce WR - NE,PIT,-,-,-,-,-,-,-,-,-,-,-,0
LaVon Brazill WR SUS,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Da'Ron Brown WR - KC,@HOU,-,-,-,-,-,-,-,-,-,-,-,0
Jaron Brown WR - ARI,NO,-,-,-,-,-,-,-,-,-,-,-,0
Justin Brown WR IR,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Mike Brown WR - CAR,@JAC,-,-,-,-,-,-,-,-,-,-,-,0
Nate Burleson WR,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Isaiah Burse WR - DEN,BAL,-,-,-,-,-,-,-,-,-,-,-,0
Stephen Burton WR IR,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Brice Butler WR - OAK,CIN,-,-,-,-,-,-,-,-,-,-,-,0
Jeremy Butler WR - BAL,@DEN,-,-,-,-,-,-,-,-,-,-,-,0
DeAndre Carter WR - BAL,@DEN,-,-,-,-,-,-,-,-,-,-,-,0
